,experiment_code,metabolite_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
93,C0.22,e4p_c,0.346323,0.346323,0.346323,0.346314,0.34584899999999996,0.340694,0.305908,0.272777,0.46812200000000004
94,C0.22,xu5p-D_c,1.7584,1.7584,1.7584,1.7584,1.75849,1.7604,1.81496,2.0220599999999997,2.08256
95,C0.22,s7p_c,6.75444,6.75444,6.75445,6.754569999999999,6.7561800000000005,6.77203,6.906739999999999,8.10774,14.3341
96,C0.30,atp_c,3.41931,3.41931,3.41931,3.41931,3.41931,3.41931,3.41931,3.41931,3.41931
97,C0.30,adp_c,0.717615,0.717615,0.717615,0.717615,0.717615,0.717615,0.717615,0.717615,0.717615
98,C0.30,nad_c,5.6557699999999995,5.6557699999999995,5.6557699999999995,5.6557699999999995,5.6557699999999995,5.6557699999999995,5.6557699999999995,5.6557699999999995,5.6557699999999995
99,C0.30,nadh_c,0.26933,0.26933,0.26933,0.26933,0.26933,0.26933,0.26933,0.26933,0.26933
100,C0.30,nadp_c,0.013614099999999999,0.013614099999999999,0.013614099999999999,0.013614099999999999,0.013614099999999999,0.013614099999999999,0.013614099999999999,0.013614099999999999,0.013614099999999999
101,C0.30,nadph_c,0.029473700000000002,0.029473700000000002,0.029473700000000002,0.029473700000000002,0.029473700000000002,0.029473700000000002,0.029473700000000002,0.029473700000000002,0.029473700000000002
102,C0.30,3pg_c,6.18081,6.18081,6.18081,6.18081,6.18243,6.40991,7.68699,7.75483,7.75442
103,C0.30,2pg_c,0.37604499999999996,0.37604499999999996,0.376046,0.376046,0.376135,0.389755,0.467027,0.47113900000000003,0.47111499999999995
104,C0.30,g6p_c,25.9594,25.9594,25.9594,25.9594,25.9594,25.9594,25.9594,25.9594,25.9594
105,C0.30,f6p_c,4.46638,4.4827900000000005,4.64241,5.8865099999999995,8.66349,8.841389999999999,8.889560000000001,8.89157,8.89162
106,C0.30,fdp_c,14.0426,14.0426,14.0427,14.0515,14.3176,16.7339,22.0211,22.2615,22.2599
107,C0.30,g3p_c,0.40614,0.40614,0.40614,0.406156,0.408186,0.437414,0.49666400000000005,0.49918500000000005,0.49916099999999997
108,C0.30,13dpg_c,0.0102905,0.0102905,0.0102905,0.010290700000000002,0.0103084,0.0107772,0.012600100000000001,0.012692299999999998,0.0126917
109,C0.30,dhap_c,3.7040300000000004,3.7040300000000004,3.7040300000000004,3.7041199999999996,3.7218699999999996,3.98754,4.5243400000000005,4.54715,4.546930000000001
110,C0.30,pep_c,1.16485,1.16485,1.16485,1.16485,1.16498,1.20155,1.4252,1.43725,1.43718
111,C0.30,pyr_c,22.9866,22.9866,22.9866,22.9866,22.9866,23.0481,24.3841,24.4752,24.4749
112,C0.30,pi_c,35.3902,35.3902,35.3902,35.3902,35.3902,35.3902,35.3902,35.3902,35.3902
113,C0.30,6pgl_c,28.8139,28.8144,28.8199,28.8752,29.4182,34.0662,51.8213,57.4382,57.4393
114,C0.30,6pgc_c,2.04237,2.04237,2.04237,2.04237,2.04244,2.0451099999999998,2.1012299999999997,2.22545,2.23685
115,C0.30,ru5p-D_c,0.721749,0.721749,0.721749,0.721749,0.721774,0.722689,0.742426,0.786265,0.790293
116,C0.30,r5p_c,1.18519,1.18519,1.18519,1.18519,1.1852,1.1859600000000001,1.2151100000000001,1.28407,1.29149
117,C0.30,e4p_c,0.190223,0.190223,0.190223,0.19021,0.189849,0.186281,0.170967,0.16816,0.2142
118,C0.30,xu5p-D_c,2.8201400000000003,2.8201400000000003,2.8201400000000003,2.82015,2.82033,2.82361,2.90047,3.07302,3.08886
119,C0.30,s7p_c,3.17462,3.17462,3.17462,3.17465,3.1752700000000003,3.18174,3.22416,3.53479,4.6451199999999995
120,C0.05,atp_c,5.32616,5.32616,5.32616,5.32616,5.32616,5.32616,5.32616,5.32616,5.32616
121,C0.05,adp_c,0.24366300000000002,0.24366300000000002,0.24366300000000002,0.24366300000000002,0.24366300000000002,0.24366300000000002,0.24366300000000002,0.24366300000000002,0.24366300000000002
122,C0.05,nad_c,15.0912,15.0912,15.0912,15.0912,15.0912,15.0912,15.0912,15.0912,15.0912
123,C0.05,nadh_c,0.029912099999999997,0.029912099999999997,0.029912099999999997,0.029912099999999997,0.029912099999999997,0.029912099999999997,0.029912099999999997,0.029912099999999997,0.029912099999999997
124,C0.05,nadp_c,0.00934379,0.00934379,0.00934379,0.00934379,0.00934379,0.00934379,0.00934379,0.00934379,0.00934379
125,C0.05,nadph_c,0.07342689999999999,0.07342689999999999,0.07342689999999999,0.07342689999999999,0.07342689999999999,0.07342689999999999,0.07342689999999999,0.07342689999999999,0.07342689999999999
126,C0.05,3pg_c,6.31115,6.31115,6.31115,6.31117,6.314080000000001,6.4463099999999995,6.98428,7.10887,7.108810000000001
127,C0.05,2pg_c,0.404971,0.404971,0.404971,0.404972,0.40515300000000004,0.413603,0.44813400000000003,0.456138,0.45613400000000004
