,experiment_code,enzyme_code,dG_0,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
8000,C0.30,r5p_c_EX,-108.715,-115.29237813874498,-115.29237813874498,-115.29237813874498,-115.29237813874498,-115.29237813874498,-115.30114156614928,-115.40935509414903,-115.41409542702137,-115.41406219309187
8100,C0.30,r5p_c_EX,-108.715,-116.6623182166242,-116.6623182166242,-116.6623182166242,-116.6623182166242,-116.66232825946477,-116.67124028684225,-116.79928453021515,-116.80455309133049,-116.8045151597531
8200,C0.30,r5p_c_EX,-108.715,-116.98792955639108,-116.98792955639108,-116.98792955639108,-116.98792955639108,-116.9879383630031,-116.99817687406588,-117.11260442270964,-117.11452984273377,-117.11448800167557
8300,C0.30,r5p_c_EX,-108.715,-116.53365078047189,-116.53365078047189,-116.53365078047189,-116.53365078047189,-116.53365078047189,-116.53914520482896,-116.65164985969393,-116.66071083784338,-116.66067064001639
8400,C0.30,r5p_c_EX,-108.715,-117.05284010820117,-117.05284010820117,-117.05284010820117,-117.05284010820117,-117.05284010820117,-117.05528392095607,-117.16192291273674,-117.17836150878765,-117.17828810905414
8500,C0.30,r5p_c_EX,-108.715,-116.16553117693016,-116.16553117693016,-116.16553117693016,-116.16553117693016,-116.16556799098409,-116.20295735467334,-116.33268350307233,-116.33330287235886,-116.33325699845929
8600,C0.30,r5p_c_EX,-108.715,-115.7859951917971,-115.7859951917971,-115.7859951917971,-115.7859951917971,-115.7860380968694,-115.83215798041144,-115.9640653819826,-115.9644646634338,-115.96442473818274
8700,C0.30,r5p_c_EX,-108.715,-116.27050461377432,-116.27050461377432,-116.27050461377432,-116.27050461377432,-116.27051637636569,-116.29290498604973,-116.45486516971343,-116.45968690632127,-116.45961061702378
8800,C0.30,r5p_c_EX,-108.715,-116.58950289578193,-116.58950289578193,-116.58950289578193,-116.58950289578193,-116.58950289578193,-116.59357439499391,-116.72030504942042,-116.73618656966562,-116.73616707358754
8900,C0.30,r5p_c_EX,-108.715,-116.99436763997525,-116.99436763997525,-116.99436763997525,-116.99436763997525,-116.99436763997525,-117.0094298943433,-117.20313574593837,-117.20729052810182,-117.20724216294457
9000,C0.30,r5p_c_EX,-108.715,-116.50277271137105,-116.50277271137105,-116.50277271137105,-116.50277271137105,-116.50277271137105,-116.520956562109,-116.73227453604986,-116.73528959133108,-116.73518232219408
9100,C0.30,r5p_c_EX,-108.715,-116.33232786928754,-116.33232786928754,-116.33232786928754,-116.33232786928754,-116.33232786928754,-116.34780227534513,-116.56032180627352,-116.56982645233312,-116.56972220346755
9200,C0.30,r5p_c_EX,-108.715,-116.6227056687922,-116.6227056687922,-116.6227056687922,-116.6227056687922,-116.6227056687922,-116.62900412709331,-116.76344749499475,-116.78453962464182,-116.78443446577705
9300,C0.30,r5p_c_EX,-108.715,-116.24174347548667,-116.24174347548667,-116.24174347548667,-116.24174347548667,-116.24176727515831,-116.26023814148395,-116.38682855818065,-116.38875822899338,-116.38870215510572
9400,C0.30,r5p_c_EX,-108.715,-116.15912949619548,-116.15912949619548,-116.15912949619548,-116.15912949619548,-116.15912949619548,-116.16750609222939,-116.26225707485443,-116.26519398779092,-116.26515862399901
9500,C0.30,r5p_c_EX,-108.715,-116.68369739267149,-116.68369739267149,-116.68369739267149,-116.68369739267149,-116.68370734926776,-116.69596341546249,-116.82929317793597,-116.83565988688365,-116.83559433406147
