,experiment_code,reaction_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
125,C0.11,PGK,1.3826200000000002,1.38263,1.3826399999999999,1.3827200000000002,1.38896,1.42716,1.42828,1.42803,1.4280000000000002
126,C0.11,GPM,1.38266,1.38266,1.38265,1.38265,1.38362,1.39753,1.4225299999999999,1.42803,1.4280000000000002
127,C0.11,ENO,1.38265,1.38265,1.38265,1.38265,1.38334,1.39571,1.4221700000000002,1.42803,1.4280000000000002
128,C0.11,PYK,1.3826399999999999,1.3826399999999999,1.3826399999999999,1.3826399999999999,1.38266,1.3883,1.4207100000000001,1.42803,1.4280000000000002
129,C0.11,G6PDH2r,0.10416199999999999,0.10415999999999999,0.104148,0.104026,0.102818,0.0922289,0.046732800000000005,0.014910099999999999,0.0143915
130,C0.11,PGL,0.0125655,0.012565600000000001,0.0125659,0.0125693,0.0126027,0.0128977,0.014164600000000001,0.0145408,0.0143912
131,C0.11,GND,0.0122359,0.0122359,0.0122359,0.012236,0.0122363,0.0122484,0.0127074,0.014181399999999999,0.0143898
132,C0.11,RPE,0.00043117199999999996,0.00043117300000000003,0.00043117800000000005,0.000431065,0.00042642,0.000419381,0.000605033,0.000403052,0.000228913
133,C0.11,RKI,0.0117629,0.0117629,0.0117629,0.0117629,0.011763899999999999,0.011776700000000001,0.0119962,0.013739700000000002,0.014160599999999999
134,C0.11,TKL1,0.00018109999999999998,0.00018109999999999998,0.00018109999999999998,0.00018109200000000002,0.000180295,0.00017385599999999998,0.00016753900000000002,0.000220444,0.000187195
135,C0.11,TKL2,8.83469e-05,8.82443e-05,8.72415e-05,7.90962e-05,5.42683e-05,4.2111400000000005e-05,2.68658e-05,3.1085100000000005e-05,4.08465e-05
136,C0.11,TAL,9.09324e-05,8.59375e-05,3.66242e-05,-0.000399816,-0.00222517,-0.00225448,-0.00011070200000000001,3.54424e-05,4.42762e-05
137,C0.11,pyr_c_EX,1.38263,1.38263,1.38263,1.38263,1.38263,1.38376,1.41788,1.42802,1.4280000000000002
138,C0.11,dhap_c_EX,0.0350159,0.0350159,0.0350159,0.0350172,0.0351722,0.036439599999999996,0.0383661,0.0388545,0.038852099999999994
139,C0.11,r5p_c_EX,0.0115134,0.0115134,0.0115134,0.011513500000000001,0.011514299999999998,0.011523899999999998,0.011671700000000002,0.0134572,0.013973
140,C0.16,PGI,11.3766,11.3382,10.9657,8.1439,1.80437,1.13945,1.12964,1.12932,1.12932
141,C0.16,PFK,1.06951,1.06989,1.07355,1.09849,1.13963,1.13381,1.1296700000000002,1.12935,1.12935
142,C0.16,FBA,1.06945,1.06945,1.06946,1.07085,1.0840299999999998,1.12202,1.12947,1.12935,1.12935
143,C0.16,TPI,1.0305799999999998,1.0305600000000001,1.03023,1.02664,1.02362,1.07568,1.08605,1.0859,1.0859
144,C0.16,GAPD,2.10018,2.10018,2.10019,2.10049,2.1162900000000002,2.20264,2.2156599999999997,2.2154599999999998,2.21543
145,C0.16,PGK,2.10017,2.10018,2.10019,2.10049,2.11627,2.20256,2.21565,2.2154599999999998,2.21543
146,C0.16,GPM,2.10027,2.10026,2.1002,2.1002,2.1024700000000003,2.1356,2.20837,2.2154599999999998,2.21543
147,C0.16,ENO,2.10018,2.10018,2.10018,2.10018,2.10162,2.13136,2.20791,2.2154599999999998,2.21543
148,C0.16,PYK,2.10018,2.10018,2.10018,2.10018,2.1003,2.12053,2.2067099999999997,2.2154599999999998,2.21543
149,C0.16,G6PDH2r,0.037770599999999994,0.0377705,0.0377691,0.0377556,0.037621800000000004,0.036395300000000005,0.029945799999999998,0.0234935,0.0231539
150,C0.16,PGL,0.0196425,0.0196425,0.019643099999999997,0.0196491,0.0197088,0.0202543,0.022854,0.0232707,0.0231534
151,C0.16,GND,0.019493599999999996,0.019493599999999996,0.019493700000000003,0.019493700000000003,0.0194942,0.0195155,0.0203937,0.0229763,0.0231524
152,C0.16,RPE,0.00027638099999999997,0.000276209,0.00027489400000000003,0.000271877,0.00026304,0.000267464,0.000598008,0.00031107,0.00019447599999999999
153,C0.16,RKI,0.0192407,0.019239,0.0192263,0.019209999999999998,0.019215799999999998,0.019225400000000004,0.0196868,0.022646,0.0229578
154,C0.16,TKL1,0.000184475,0.000184475,0.000184474,0.000184424,0.00018188900000000002,0.000167131,0.00016522799999999998,0.00022407400000000002,0.00017895200000000002
155,C0.16,TKL2,3.43374e-05,3.42569e-05,3.34878e-05,2.8198000000000003e-05,1.84439e-05,1.28003e-05,9.54843e-06,1.1510999999999999e-05,1.49923e-05
156,C0.16,TAL,3.77554e-05,-1.73151e-06,-0.000386601,-0.00344056,-0.0107411,-0.00522193,2.46766e-05,1.78271e-05,1.98699e-05
157,C0.16,pyr_c_EX,2.10018,2.10018,2.10018,2.10018,2.10018,2.10892,2.20531,2.2154599999999998,2.21543
158,C0.16,dhap_c_EX,0.0389154,0.0389154,0.0389154,0.038922399999999996,0.039378199999999995,0.042127099999999994,0.0433514,0.0434514,0.04345
159,C0.16,r5p_c_EX,0.0189998,0.0189998,0.0189998,0.018999900000000004,0.0190004,0.0190085,0.019282900000000002,0.0223796,0.022778599999999996
160,C0.22,PGI,9.47661,9.452580000000001,9.21925,7.42241,3.23318,2.71441,2.68986,2.6898,2.6898
161,C0.22,PFK,2.47938,2.4809799999999997,2.49635,2.60392,2.78169,2.70621,2.68986,2.68986,2.68987
162,C0.22,FBA,2.47922,2.47922,2.47935,2.4878400000000003,2.54933,2.67549,2.68987,2.68986,2.68987
163,C0.22,TPI,2.2669200000000003,2.26685,2.26637,2.25806,2.2652900000000002,2.42215,2.43948,2.43948,2.43949
164,C0.22,GAPD,4.74604,4.74604,4.74606,4.7474,4.81883,5.10344,5.12951,5.12951,5.1294900000000005
